name,adjoe,adjde,barthag,record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Florida",105.39377200359,113.65657205979,0.29567166117994,4–6,4,10,54.6,52.3,35.4,30.1,15.7,12.4,24.2,30.7,67.7,56.7,51.4,35.2,36.4,10.8,5.9,39.2,38,53,29.3,67.4,,,,2024,,,,-5.2,79.3,70.4
"Missouri St.",104.01474560473,103.33145187982,0.51893969274066,3–7,3,10,48.9,50.2,31.7,22,17.6,11.8,29.4,25.1,67.8,50.8,49.4,29.7,34,10.5,9.8,44.7,59,30.4,45.5,67.9,,,,2024,,,,-4.3,71.4,68.8
Vanderbilt,108.68605871844,108.63502131714,0.50135037222043,3–7,3,10,46.7,56,33.4,28,13.7,15.8,28.6,31.3,67.6,48.9,57,28.4,36.5,7.1,9.4,35.1,59.6,34.6,43.6,65.7,,,,2024,,,,-2.1,70.1,82.6
"Utah Tech",102.79580522803,109.87393345592,0.31739383715309,3–7,3,10,51.1,51.8,46.1,43.9,21.1,18.3,28.7,32.2,72.1,53.3,51.4,31.1,35,9.1,7.9,49.8,57.3,33.2,37,71.1,,,,2024,,,,-5.2,65,75.2
Akron,102.78613,105.13286,0.43546048794834,5–5,5,10,50.2,50.3,28.4,29.5,17,14.6,27.6,25.7,67.2,55.1,52.2,28.7,31.5,8.6,7,45.7,38.5,41,37.8,67.4,,,,2024,,,,-3.1,73.2,70.2
Memphis,114.28990962832,103.35733963687,0.760655903711,6–4,6,10,53,52.2,34.6,28,16.7,19.5,34.4,34.4,71.7,53.9,53.5,34.5,33.6,9.9,11.7,50.9,58.3,40.9,42.9,72.5,,,,2024,,,,-0.9,68.5,72.8
"Central Arkansas",94.578664218947,112.15732013734,0.12342245758688,2–8,2,10,47.1,52.6,27.8,31.1,16.3,14.5,28.8,25.4,69.6,46.1,49.7,32.6,37.4,9.9,7.5,54.8,45.3,36.6,44.7,70,,,,2024,,,,-7.2,76.5,79.8
"Murray St.",108.2539919865,109.22954062285,0.4742303616768,4–6,4,10,49.7,57,27.3,28.4,14.5,16,28.8,22.7,64.2,51.9,54.9,30.1,39.6,5.9,7.4,37.1,58.3,31.8,46.1,63.5,,,,2024,,,,-3,70.1,76.8
American,97.171175071753,111.45487333713,0.17119591265352,4–6,4,10,49.3,49.6,31.4,29.6,17.5,17.8,26,25.9,59.3,49.3,46.2,32.9,36.1,4.9,8.6,56.9,53.3,44.1,43.2,61.3,,,,2024,,,,-5.5,75.6,72
"Notre Dame",109.74152874946,101.00993871472,0.72180905189736,6–4,6,10,50.1,49.8,31.7,27.2,14.8,13.2,27.2,27.3,65.4,47.5,52.8,35.8,29.9,4.6,12.9,47.9,49.2,41.6,37.8,64.5,,,,2024,,,,0.2,78.5,70.2
Creighton,125.67516023956,95.724947060321,0.95813536832233,8–2,8,10,58.3,47.2,23.7,15.5,15.5,11.5,26.6,25.1,66.4,58.7,48.7,38.6,29.2,10.8,8.5,59.9,43.7,50.4,30.1,67.1,,,,2024,,,,2.8,81.4,81
